channel_sales,forecast_cons_year,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,margin_gross_pow_ele,nb_prod_act,num_years_antig,origin_up,var_year_price_off_peak_var,var_year_price_peak_var,var_year_price_mid_peak_var,var_year_price_off_peak_fix,var_year_price_peak_fix,var_6m_price_off_peak_var,var_6m_price_peak_var,var_6m_price_mid_peak_var,var_6m_price_off_peak_fix,churn,date_activ_year,date_activ_month,date_activ_day,date_activ_dayofweek,date_activ_dayofyear,date_end_year,date_end_month,date_end_day,date_end_dayofweek,date_end_dayofyear,date_modif_prod_year,date_modif_prod_month,date_modif_prod_day,date_modif_prod_dayofweek,date_modif_prod_dayofyear,date_renewal_year,date_renewal_month,date_renewal_day,date_renewal_dayofweek,date_renewal_dayofyear,power_utilization_ratio,cons_vs_forecast,discount_impact,total_energy_usage
foosdfpfkusacimwkcsosbicdxkicaua,0,1.78,0.114481,0.098142,40.606701,t,25.44,2,3,lxidpiddsbxsbosboudacockeimpuepw,6.13E-05,2.63E-05,0.000440276,1.102784696,49.55070279,0.000131454,4.10E-05,0.000908474,2.08629369,1,2013,6,15,5,166,2016,6,15,2,167,2015,11,1,6,305,2015,6,23,1,174,0,0,0,54946
MISSING,0,16.27,0.145711,0,44.31137796,f,16.38,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,4.89E-06,0.000608945,0,0.006464779,0,3.35E-06,0.001217891,0,0.009481719,0,2009,8,21,4,233,2016,8,30,1,243,2009,8,21,4,233,2015,8,31,0,243,28.14009662,4470.05,0,4660
foosdfpfkusacimwkcsosbicdxkicaua,0,38.72,0.165794,0.087899,44.31137796,f,28.6,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,5.74E-06,2.56E-07,0,0.007661891,0,3.57E-06,9.45E-08,0,0,0,2010,4,16,4,106,2016,4,16,5,107,2010,4,16,4,106,2015,4,17,4,107,3.271747498,496.04,0,544
lmkebamcaaclubfxadlmueccxoimlema,0,19.83,0.146694,0,44.31137796,f,30.22,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,5.37E-06,0,0,0.006464721,0,3.32E-06,0,0,0,0,2010,3,30,1,89,2016,3,30,2,90,2010,3,30,1,89,2015,3,31,1,90,10,1343.96,0,1584
MISSING,526,131.73,0.1169,0.100015,40.606701,f,44.91,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.48E-05,3.55E-06,2.52E-06,0.005428942,0.001954419,1.11E-05,2.90E-06,4.86E-10,0,0,2010,1,13,2,13,2016,3,7,0,67,2010,1,13,2,13,2015,3,9,0,68,18.62373737,3979.25,0,4425
usilxuppasemubllopkaafesmlibmsdf,1998,30.12,0.164775,0.086131,45.30837756,f,33.12,1,4,lxidpiddsbxsbosboudacockeimpuepw,1.32E-05,3.45E-06,0,3.82E-13,0,1.04E-05,4.24E-06,0,0,1,2011,12,9,4,343,2016,12,9,4,344,2015,11,1,6,305,2015,12,10,3,344,52.41161616,7505.06,0,8302
foosdfpfkusacimwkcsosbicdxkicaua,0,0,0.166178,0.087538,44.31137796,f,4.04,1,4,lxidpiddsbxsbosboudacockeimpuepw,5.68E-06,1.50E-07,0,0,0,3.57E-06,9.45E-08,0,0,1,2011,12,2,4,336,2016,12,2,4,337,2011,12,2,4,336,2015,12,3,3,337,250.5388889,37027.72,0,45097
foosdfpfkusacimwkcsosbicdxkicaua,751,144.49,0.115174,0.098837,40.606701,f,53.92,1,6,lxidpiddsbxsbosboudacockeimpuepw,1.68E-05,3.40E-06,2.18E-06,0.006434301,0.002316348,1.11E-05,2.90E-06,4.86E-10,0,0,2010,4,21,2,111,2016,4,21,3,112,2010,4,21,2,111,2015,4,22,2,112,93.28282828,28687.27,0,29552
usilxuppasemubllopkaafesmlibmsdf,0,15.85,0.145711,0,44.31137796,f,12.82,1,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,4.39E-06,0,0,0.006464769,0,2.84E-06,0,0,0.009481719,0,2011,9,23,4,266,2016,9,23,4,267,2011,9,23,4,266,2015,9,25,4,268,18.69949495,2517.62,0,2962
lmkebamcaaclubfxadlmueccxoimlema,2188,130.43,0.115761,0.099419,40.606701,f,33.42,1,6,lxidpiddsbxsbosboudacockeimpuepw,1.71E-05,3.38E-06,3.08E-06,0,0,1.11E-05,2.90E-06,4.86E-10,0,0,2010,5,4,1,124,2016,5,4,2,125,2015,4,29,2,119,2015,5,5,1,125,68.95238095,23325.9,0,26064
usilxuppasemubllopkaafesmlibmsdf,3112,20.94,0.164637,0.087381,44.31137796,f,14.52,1,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,6.35E-07,3.58E-06,0,0.008380226,0,3.99E-07,2.25E-06,0,0.005267621,0,2011,7,11,0,192,2016,7,11,0,193,2011,7,11,0,192,2015,7,12,6,193,78.48550725,9626.42,0,10831
foosdfpfkusacimwkcsosbicdxkicaua,2489,20.5,0.167086,0.088444,46.30537836,f,21.09,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,4.04E-06,2.35E-07,0,0.368649848,0,3.82E-06,4.95E-07,0,0.666666933,0,2009,11,26,3,330,2016,11,26,5,331,2009,11,26,3,330,2015,11,27,4,331,35.62034899,3880.04,0,4442
foosdfpfkusacimwkcsosbicdxkicaua,5280,145.81,0.115237,0.100123,40.606701,t,5.52,2,4,lxidpiddsbxsbosboudacockeimpuepw,6.40E-05,2.52E-05,0.000429915,1.127175279,49.44147248,1.02E-05,3.46E-06,2.52E-06,0.007077419,0,2011,9,1,3,244,2016,10,30,6,304,2013,10,30,2,303,2015,11,1,6,305,232.9343434,41618.57,0,1588988
foosdfpfkusacimwkcsosbicdxkicaua,0,74.66,0.162327,0.084428,44.31137796,f,33.12,1,3,ldkssxwpmemidmecebumciepifcamkci,1.18E-05,2.80E-06,0,0.006464779,0,8.52E-06,3.52E-06,0,0.009481719,0,2013,1,22,1,22,2017,1,22,6,22,2015,11,18,2,322,2016,1,24,6,24,48.77525253,6811.9,0,7726
MISSING,0,15.37,0.168242,0.089602,45.30837756,f,15.78,1,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,5.68E-06,1.50E-07,0,2.95E-13,0,3.57E-06,9.45E-08,0,0,0,2010,12,1,2,335,2016,12,1,3,336,2010,12,1,2,335,2015,12,2,2,336,58.38024442,8678.48,0,9707
lmkebamcaaclubfxadlmueccxoimlema,1080,16.08,0.144902,0,44.31137796,f,19.28,1,4,ldkssxwpmemidmecebumciepifcamkci,4.14E-06,0,0,0.007661891,0,3.32E-06,0,0,0,0,2012,4,20,4,111,2016,4,20,2,111,2012,4,20,4,111,2015,4,21,1,111,377.0448422,45331.71,0,47019
MISSING,23298,16.6,0.164058,0.086163,44.31137796,t,25.68,2,6,lxidpiddsbxsbosboudacockeimpuepw,5.40E-06,5.74E-07,0,2.95E-13,0,3.57E-06,9.45E-08,0,0,0,2010,2,15,0,46,2016,2,15,0,46,2010,2,15,0,46,2015,2,16,0,47,5749.532164,773018.5,0,867119
foosdfpfkusacimwkcsosbicdxkicaua,0,118.24,0.11286,0.096521,40.606701,f,19.29,1,5,MISSING,1.59E-05,3.05E-06,2.08E-06,0.007238536,0.002605915,1.11E-05,2.90E-06,4.86E-10,0,0,2011,8,1,0,213,2016,7,25,0,207,2014,7,25,4,206,2015,7,27,0,208,102.5866667,27730.84,0,30776
MISSING,798,141.79,0.115174,0.098837,40.606701,f,21.57,1,5,ldkssxwpmemidmecebumciepifcamkci,1.66E-05,3.04E-06,2.38E-06,0.007037517,0.002533506,1.11E-05,2.90E-06,4.86E-10,0,0,2011,5,27,4,147,2016,5,27,4,148,2011,5,27,4,147,2015,5,31,6,151,137.9796902,23749.65,0,24838
foosdfpfkusacimwkcsosbicdxkicaua,0,18.31,0.145711,0,44.31137796,f,23.97,1,4,lxidpiddsbxsbosboudacockeimpuepw,4.23E-06,0,0,0.008380216,0,3.32E-06,0,0,0,0,2012,5,28,0,149,2016,5,28,5,149,2012,5,28,0,149,2015,5,31,6,151,98.78846154,15216.58,0,15411
foosdfpfkusacimwkcsosbicdxkicaua,1908,131.77,0.115237,0.100123,40.606701,t,6.6,2,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.99E-05,4.19E-06,8.22E-08,0.004021349,0.001447757,1.27E-05,2.68E-06,1.54E-07,0.007077419,0,2009,10,1,3,274,2016,10,1,5,275,2009,10,1,3,274,2015,10,3,5,276,70.63131313,15095.33,0,16782
foosdfpfkusacimwkcsosbicdxkicaua,4099,129.95,0.118636,0.10175,40.606701,f,47.35,1,5,lxidpiddsbxsbosboudacockeimpuepw,1.83E-05,5.06E-06,2.98E-07,0.005428942,0.001954419,1.11E-05,2.90E-06,4.86E-10,0,0,2011,3,4,4,63,2016,3,4,4,64,2011,3,4,4,63,2015,3,9,0,68,64.2547619,24225.05,0,26987
usilxuppasemubllopkaafesmlibmsdf,3804,0,0.142417,0,44.31137796,f,4.14,1,3,lxidpiddsbxsbosboudacockeimpuepw,6.37E-06,0.000608945,0,0.004788727,0,4.35E-06,0,0,0.008428194,0,2012,12,31,0,366,2016,12,31,5,366,2015,11,1,6,305,2016,1,1,4,1,155.7575758,17522.18,0,20560
foosdfpfkusacimwkcsosbicdxkicaua,0,16.42,0.160302,0.082403,44.31137796,f,23.4,2,3,kamkkxfxxuwbdslkwifmmcsiusiuosws,6.17E-06,4.76E-07,0,0.008380239,0,4.61E-06,6.87E-07,0,0,0,2013,2,27,2,58,2016,2,27,5,58,2015,12,16,2,350,2015,3,9,0,68,97.48684886,10738.19,0,12157
MISSING,0,19.51,0.143478,0,44.31137796,f,3.56,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,5.24E-06,0,0,0.004788721,0,3.29E-06,0,0,0.008428194,0,2009,12,7,0,341,2016,12,7,2,342,2015,11,1,6,305,2015,12,8,1,342,82.84090909,11189.58,0,13122
foosdfpfkusacimwkcsosbicdxkicaua,322,145.98,0.115237,0.100123,41.1052014,f,57.72,1,5,lxidpiddsbxsbosboudacockeimpuepw,1.88E-05,4.40E-06,4.60E-08,0.036621252,0.029775541,1.20E-05,2.80E-06,9.70E-08,0.073242142,1,2010,11,17,2,321,2016,11,17,3,322,2010,11,17,2,321,2015,11,18,2,322,12.92929293,3204.17,0,3584
MISSING,0,15.98,0.145711,0,44.31137796,f,14.64,1,6,ldkssxwpmemidmecebumciepifcamkci,3.76E-06,0,0,0.008380242,0,2.37E-06,0,0,0.005267621,0,2010,7,12,0,193,2016,7,12,1,194,2010,7,12,0,193,2015,7,14,1,195,21.10597896,2237.17,0,2632
foosdfpfkusacimwkcsosbicdxkicaua,0,0,0.144039,0,45.80687796,f,19.42,1,4,lxidpiddsbxsbosboudacockeimpuepw,1.04E-05,0,0,3.49E-13,0,8.57E-06,0,0,0,0,2011,12,12,0,346,2016,12,12,0,347,2015,11,1,6,305,2015,12,14,0,348,31.94666667,4072.6,0,4792
MISSING,1100,132.16,0.115237,0.100123,40.9390266,f,20,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.99E-05,4.19E-06,8.22E-08,0.037312346,0.028156615,1.27E-05,2.68E-06,1.54E-07,0.065669252,0,2009,10,1,3,274,2016,10,1,5,275,2009,10,1,3,274,2015,10,2,4,275,44.13724184,7093.19,0,7950
lmkebamcaaclubfxadlmueccxoimlema,0,99.05,0.115237,0.100123,40.606701,t,43.44,2,5,ldkssxwpmemidmecebumciepifcamkci,0.002381501,0.001649092,0.000819636,249.5355037,89.83276365,0.003925326,0.002800367,0.001446159,439.7117587,0,2010,9,20,0,263,2016,9,20,1,264,2010,9,20,0,263,2015,9,23,2,266,5336.08046,1853881.84,0,1898839
foosdfpfkusacimwkcsosbicdxkicaua,0,1.08,0.14317,0,44.31137796,f,18.62,2,7,ldkssxwpmemidmecebumciepifcamkci,5.08E-06,0,0,0.008380226,0,1.95E-06,0,0,0.005267621,1,2009,7,7,1,188,2016,7,7,3,189,2015,5,23,5,143,2015,7,9,3,190,2.045454545,315.68,0,324
usilxuppasemubllopkaafesmlibmsdf,0,19.6,0.198096,0,46.30537836,f,27.96,2,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,0.000641462,0,0,1.293470178,0,3.32E-06,0,0,0,0,2011,12,14,2,348,2016,8,6,5,219,2015,8,6,3,218,2015,1,5,0,5,16.8639338,1747.83,1.578947285,2103
usilxuppasemubllopkaafesmlibmsdf,0,17.55,0.143166,0,44.31137796,f,17.45,1,4,lxidpiddsbxsbosboudacockeimpuepw,3.78E-06,0,0,0.008380242,0,2.38E-06,0,0,0.005267621,0,2012,7,3,1,185,2016,7,3,6,185,2013,10,31,3,304,2015,7,4,5,185,117.8370381,16706.5,0,19593
usilxuppasemubllopkaafesmlibmsdf,4159,129.97,0.116509,0.101397,40.606701,f,10.16,1,3,lxidpiddsbxsbosboudacockeimpuepw,1.84E-05,3.67E-06,4.52E-07,0,0,1.16E-05,2.64E-06,8.17E-07,0,0,2012,10,10,2,284,2016,10,10,0,284,2014,6,26,3,177,2015,10,11,6,284,114.4334975,37706.57,0,41814
MISSING,3407,130.68,0.114604,0.098262,40.606701,f,44.64,1,11,ldkssxwpmemidmecebumciepifcamkci,1.80E-05,4.36E-06,3.17E-06,0.005428942,0.001954419,1.11E-05,2.90E-06,4.86E-10,0,0,2005,3,28,0,87,2016,3,28,0,88,2015,3,9,0,68,2015,3,29,6,88,95.88131313,34089.02,0,37969
foosdfpfkusacimwkcsosbicdxkicaua,3538,146.56,0.11536,0.100243,40.606701,f,3.72,1,4,lxidpiddsbxsbosboudacockeimpuepw,2.11E-05,5.37E-06,5.66E-08,0,0,1.41E-05,3.48E-06,9.13E-08,0,0,2011,11,4,4,308,2016,11,4,4,309,2015,11,1,6,305,2015,11,5,3,309,173.459596,36919.51,0,41214
lmkebamcaaclubfxadlmueccxoimlema,346,16.12,0.144902,0,44.31137796,f,21.52,1,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,3.47E-06,0,0,0.008619647,0,3.32E-06,0,0,0,0,2011,6,22,2,173,2016,6,22,2,174,2011,6,22,2,173,2015,6,23,1,174,12707.01389,2012243.65,0,2012791
lmkebamcaaclubfxadlmueccxoimlema,0,120.45,0.120372,0.103487,40.606701,f,60.39,1,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,1.55E-05,3.72E-06,1.78E-06,0.005428942,0.001954419,1.11E-05,2.90E-06,4.86E-10,0,0,2010,3,12,4,71,2016,3,12,5,72,2010,3,12,4,71,2015,3,13,4,72,64.00062657,19559.46,0,20429
foosdfpfkusacimwkcsosbicdxkicaua,315,18.47,0.145711,0,44.31137796,f,24.4,1,6,lxidpiddsbxsbosboudacockeimpuepw,4.00E-06,0,0,0.008619647,0,3.32E-06,0,0,0,0,2010,6,8,1,159,2016,6,8,2,160,2010,6,8,1,159,2015,6,23,1,174,33.09444444,5446.13,0,5957
usilxuppasemubllopkaafesmlibmsdf,0,19.54,0.147506,0,45.80687796,f,17.13,1,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,4.78E-06,0,0,0.234578719,0,3.23E-06,0,0,0.469157621,0,2011,11,23,2,327,2016,11,23,2,328,2011,11,23,2,327,2015,11,24,1,328,48.49082628,5134,0,6047
foosdfpfkusacimwkcsosbicdxkicaua,3537,51.6,0.143166,0,44.31137796,f,11.95,1,3,lxidpiddsbxsbosboudacockeimpuepw,4.40E-06,0,0,0.006464779,0,2.85E-06,0,0,0.009481719,0,2012,9,1,5,245,2016,9,1,3,245,2012,9,1,5,245,2015,9,2,2,245,11663.01444,1934966.52,0,1938393
foosdfpfkusacimwkcsosbicdxkicaua,523,16.32,0.142881,0,46.30537836,f,29.5,1,4,lxidpiddsbxsbosboudacockeimpuepw,0.000452049,0.000608945,0,0.227471789,0,7.86E-06,0.001217891,0,0.469157621,0,2012,3,1,3,61,2016,9,20,1,264,2015,9,20,6,263,2014,3,3,0,62,54.9761836,8721.78,0,9141
ewpakwlliwisiwduibdlfmalxowmwpci,0,16.74,0.144902,0,44.31137796,f,14.64,1,4,ldkssxwpmemidmecebumciepifcamkci,1.61E-06,0,0,0.008619667,0,3.32E-06,0,0,0,0,2012,6,25,0,177,2016,7,9,5,191,2014,7,9,2,190,2015,7,12,6,193,34.15287401,3626.83,0,4259
lmkebamcaaclubfxadlmueccxoimlema,0,21.1,0.145877,0,44.31137796,f,23.4,1,5,ldkssxwpmemidmecebumciepifcamkci,4.84E-06,0.000608945,0,2.18E-13,0,3.32E-06,0,0,0,0,2011,1,10,0,10,2016,2,29,0,60,2011,1,10,0,10,2015,3,9,0,68,97.82364639,10387.1,0,12199
usilxuppasemubllopkaafesmlibmsdf,0,18.26,0.146694,0,44.31137796,f,30.22,1,5,lxidpiddsbxsbosboudacockeimpuepw,5.37E-06,0,0,0.006464721,0,3.32E-06,0,0,0,0,2011,3,15,1,74,2016,3,15,1,75,2011,3,15,1,74,2015,3,16,0,75,87.49368687,13850.17,0,13859
foosdfpfkusacimwkcsosbicdxkicaua,2797,131.87,0.11691,0.100572,40.606701,f,32.1,1,4,lxidpiddsbxsbosboudacockeimpuepw,1.68E-05,3.39E-06,2.19E-06,0.006434301,0.002316348,1.11E-05,2.90E-06,4.86E-10,0,0,2012,4,4,2,95,2016,4,4,0,95,2012,4,4,2,95,2015,4,5,6,95,346.1543279,107048.08,0,110534
foosdfpfkusacimwkcsosbicdxkicaua,2191,130.47,0.114025,0.097683,40.606701,f,12.36,1,6,ldkssxwpmemidmecebumciepifcamkci,2.09E-05,4.78E-06,1.28E-06,0.006434195,0.002316395,1.03E-05,1.90E-06,2.42E-06,0.007077419,0,2009,8,1,5,213,2016,8,1,0,214,2015,7,12,6,193,2015,8,2,6,214,332.8703704,76399.62,0,79090
MISSING,0,0,0.0006,0,0,f,24.33,1,5,lxidpiddsbxsbosboudacockeimpuepw,0,0,0,0,0,0,0,0,0,0,2010,11,18,3,322,2016,11,18,4,323,2010,11,18,3,322,2015,11,21,5,325,31.03655604,5162,0,5162
