Customer_Index,Churn_Probability,Predicted_Churn_Baseline,Predicted_Churn_Tuned
6171,0.09,0,0
11147,0.13,0,1
12081,0.09,0,0
4929,0.11,0,1
3744,0.04,0,0
6278,0.07,0,0
12658,0.02,0,0
1972,0.0,0,0
13511,0.05,0,0
3814,0.01,0,0
3266,0.07,0,0
9559,0.01,0,0
8490,0.2,0,1
6976,0.05,0,0
6342,0.07,0,0
11371,0.08,0,0
8484,0.14,0,1
10137,0.08,0,0
521,0.06,0,0
5602,0.1,0,1
2337,0.07,0,0
12599,0.07,0,0
2402,0.03,0,0
920,0.04,0,0
12270,0.1,0,1
874,0.02,0,0
5816,0.34,0,1
7703,0.08,0,0
12803,0.24,0,1
10471,0.18,0,1
10833,0.05,0,0
9469,0.04,0,0
5270,0.34,0,1
12645,0.07,0,0
13470,0.18,0,1
14215,0.1,0,1
2359,0.08,0,0
11769,0.02,0,0
13045,0.06,0,0
9812,0.05,0,0
10312,0.69,1,1
888,0.15,0,1
14566,0.06,0,0
5143,0.08,0,0
7215,0.07,0,0
5831,0.17,0,1
2182,0.18,0,1
9606,0.09,0,0
9081,0.11,0,1
8001,0.12,0,1
10118,0.06,0,0
12280,0.12,0,1
4823,0.05,0,0
5508,0.12,0,1
6058,0.05,0,0
10491,0.04,0,0
1943,0.07,0,0
3494,0.06,0,0
1983,0.09,0,0
2091,0.13,0,1
10067,0.06,0,0
4019,0.01,0,0
467,0.05,0,0
1269,0.06,0,0
1818,0.02,0,0
11500,0.04,0,0
5333,0.01,0,0
11647,0.04,0,0
1523,0.22,0,1
2658,0.03,0,0
1180,0.05,0,0
13450,0.05,0,0
12030,0.0,0,0
4447,0.03,0,0
1377,0.14,0,1
8960,0.1,0,1
7489,0.05,0,0
14018,0.03,0,0
2466,0.09,0,0
3439,0.18,0,1
6116,0.05,0,0
1524,0.0,0,0
5034,0.05,0,0
8713,0.18,0,1
1267,0.2,0,1
10170,0.09,0,0
12339,0.08,0,0
6608,0.0,0,0
142,0.0,0,0
8881,0.07,0,0
5882,0.24,0,1
9227,0.04,0,0
6718,0.24,0,1
13455,0.07,0,0
12760,0.22,0,1
6288,0.15,0,1
10611,0.02,0,0
2095,0.07,0,0
7310,0.06,0,0
6042,0.03,0,0
2712,0.04,0,0
9616,0.06,0,0
11630,0.08,0,0
2696,0.06,0,0
5071,0.19,0,1
7618,0.14,0,1
4069,0.07,0,0
5228,0.0,0,0
33,0.07,0,0
3771,0.05,0,0
13773,0.03,0,0
1437,0.06,0,0
10686,0.04,0,0
6179,0.05,0,0
10435,0.07,0,0
